data,Fovea_X,Fovea_Y
0002,769.024859,1018.059762
0003,1470.287475,1037.601074
0004,1658.316671,1104.020062
0005,1729.828431,1107.209978
0007,1292.855429,1069.345693
0008,1662.866345,1071.871866
0009,1439.915991,1045.119337
0010,1524.292057,1103.393517
0011,1666.589135,1089.033802
0014,1712.123933,1106.160277
0015,1455.038394,1067.40939
0016,1515.144263,1024.174708
0017,1287.141992,1104.640453
0018,1465.441422,1062.676698
0019,1468.344445,1070.147463
0020,1481.94428,1036.279165
0021,1491.518181,1014.913153
0022,1403.287997,1066.12555
0023,1434.204416,1058.548454
0024,1794.567435,1159.523035
0025,1701.603738,1093.547886
0026,1471.953068,1022.991458
0027,1468.973795,1016.117123
0028,1442.599375,1085.070792
0029,1474.491302,1034.103469
0030,1501.649413,991.131186
0031,1680.140768,1080.343087
0032,1183.240793,1040.554149
0033,1471.861016,1015.146463
0034,1316.975493,1098.508993
0037,1453.210146,1059.431368
0038,1470.756687,1041.278968
0039,1299.440632,930.171897
0040,1474.590979,1020.931372
0041,1659.020623,1093.617575
0042,1655.093901,1092.277811
0043,1688.941642,1090.552291
0044,1319.862526,1119.797755
0045,1439.842243,1047.592411
0046,1207.18796,1024.013109
0049,1090.916892,1182.160985
0050,1469.475317,1049.81271
0051,1491.171455,1030.674705
0052,1236.565324,1095.313833
0053,1467.980769,1045.268561
0054,1493.145462,1028.581558
0056,1464.108972,1026.162207
0060,1416.9182,1033.498171
0062,1653.285062,1068.266989
0063,1678.789934,1083.99267
0064,1486.364947,1044.719435
0065,1274.024612,1096.037118
0066,1479.595542,1046.903374
0067,1260.759517,1093.256255
0068,1492.546314,1053.263194
0069,1452.707424,1056.446795
0071,1715.060309,1057.07761
0073,1248.554138,1084.187285
0074,1487.20534,1016.022353
0075,1688.476642,1063.224837
0076,1494.938977,1017.492746
0079,1270.251821,1134.462757
0080,1457.479958,1033.677183
0082,1684.110428,1101.772343
0083,1488.84568,1044.753356
0084,1242.201961,1108.820417
0085,1198.977612,980.664593
0086,1302.428643,1062.472891
0088,1244.620092,1125.286326
0089,1475.892061,1031.792843
0090,1657.987867,1091.446448
0091,1470.336543,1050.835404
0092,1693.302909,1097.020885
0093,1693.448128,1169.678508
0094,1443.999395,1025.360943
0096,1703.204386,1070.182796
0097,1500.855399,1212.532061
0098,1472.944113,1068.075182
0099,1454.76687,1034.846551
0100,1680.385104,1095.33276
